Serial No.,News,Author,True/False,Sentiment,Tokens
1,"Government plans to ban all social media apps in India","Ravish Kumar (NDTV)",False,Political News,"government plan ban social media app india"
2,"India and China reach new trade agreements","Barkha Dutt (NDTV)",True,International News,"india china reach new trade agreement"
3,"New evidence suggests the world is flat, scientists baffled","Rajdeep Sardesai (CNN)",False,International News,"new evidence suggest world flat scientist baffle"
4,"India introduces new education reforms to improve learning","Arnab Goswami (Times Now)",True,Regional News,"india introduce new education reform improve learning"
5,"India’s richest man pledges to donate billions to charity","Anjana Om Kashyap (AAJ Tak)",True,Regional News,"india richest man pledge donate billion charity"
6,"Scientists discover cure for cancer in India","Ravish Kumar (NDTV)",False,Regional News,"scientist discover cure cancer india"
7,"Mumbai to experience heavy rainfall this week","Sudhir Chaudhary (Zee News)",True,Regional News,"mumbai experience heavy rainfall week"
8,"Government to provide free internet to all citizens in India","Sandeep Chaudhary (News 18)",False,Political News,"government provide free internet citizen india"
9,"Prime Minister Modi announces new farm bill in Parliament","Arnab Goswami (Times Now)",True,Political News,"prime minister modi announce new farm bill parliament"
10,"NASA reveals India will be the first to colonize Mars","Rajdeep Sardesai (CNN)",False,International News,"nasa reveal india first colonize mars"
11,"India celebrates Diwali with grand firework displays","Anjana Om Kashyap (AAJ Tak)",True,Religious News,"india celebrate diwali grand firework display"
12,"The Indian economy is booming, experts say","Sudhir Chaudhary (Zee News)",True,Political News,"indian economy booming expert say"
13,"New app lets Indians order food directly from local restaurants","Ravish Kumar (NDTV)",True,Regional News,"new app let indian order food directly local restaurant"
14,"India will cut ties with neighboring countries due to trade issues","Barkha Dutt (NDTV)",False,Political News,"india cut tie neighbor country trade issue"
15,"Yoga has become a global health trend, says Indian expert","Sandeep Chaudhary (News 18)",True,International News,"yoga become global health trend say indian expert"
